종목코드,종목명,종가,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액,상장주식수
005930,삼성전자,240000,0.21,244500,244500,228000,29433804,6922840451100,1403106865920000,1403106865920000,5846278608
000660,SK하이닉스,1577000,0.64,1620000,1630000,1483000,5361210,8286621255440,1151986459605000,1151986459605000,730492365
009150,삼성전기,1185000,0.34,1278000,1279000,1112000,982295,1149326516000,88512029760000,88512029760000,74693696
373220,LG에너지솔루션,328500,3.96,319000,330500,315000,270560,87507123250,76869000000000,76869000000000,234000000
006400,삼성SDI,419500,7.7,399500,419500,391500,401740,162912283250,33805629835000,33805629835000,80585530
010120,LS ELECTRIC,197000,4.56,196200,197900,187100,827737,159854934400,29550000000000,29550000000000,150000000
066570,LG전자,165500,4.22,160400,167300,156900,1179360,190827107850,26957407589000,26957407589000,162884638
267260,HD현대일렉트릭,716000,6.39,691000,716000,670000,156137,108994506000,25809748660000,25809748660000,36047135
298040,효성중공업,2655000,6.41,2697000,2697000,2530000,61743,161606995000,24756674940000,24756674940000,9324548
000150,두산,1274000,2.91,1275000,1285000,1161000,70200,85885767500,20630945790000,20630945790000,16193835
272210,한화시스템,69100,9.51,62700,69800,62700,615884,41346923600,13054329779900,13054329779900,188919389
003670,포스코퓨처엠,142800,4.39,138100,143200,136300,183174,25679505300,12701520216000,12701520216000,88946220
011070,LG이노텍,525000,2.34,526000,526000,488500,256493,130416245750,12425231175000,12425231175000,23667107
007660,이수페타시스,79600,6.85,76200,79700,72500,626109,48046507200,5843373832400,5843373832400,73409219
001440,대한전선,25500,6.47,24200,25550,24100,2326347,57657082225,4997811198000,4997811198000,195992596
062040,산일전기,152900,5.01,150400,153000,145000,155107,23186041050,4681163465000,4681163465000,30615850
034220,LG디스플레이,9530,4.04,9160,9530,9090,2469051,23029439265,4765000000000,4765000000000,500000000
353200,대덕전자,97800,1.14,101000,103800,94000,1163380,113844989450,4832975265000,4832975265000,49416925
000500,가온전선,146500,8.04,153800,154000,140200,239936,34789321250,4362419425500,4362419425500,29777607
000990,DB하이텍,85000,5.07,82300,85400,78800,470438,38898223350,3697889980000,3697889980000,43504588
066970,엘앤에프,77500,6.6,74900,79000,74500,223939,17098002100,3152952650000,3152952650000,40683260
103590,일진전기,56100,5.65,54500,56100,53100,375104,20476003900,2675150379000,2675150379000,47685390
007340,DN오토모티브,42850,4.77,39950,43900,39800,189049,8005191225,2507190565250,2507190565250,58510865
450080,에코프로머티,32750,0.46,32350,34400,30050,691755,22405056550,2319154242500,2319154242500,70813870
489790,한화비전,44700,2.76,44050,44800,41850,254338,11072933075,2256831033000,2256831033000,50488390
336260,두산퓨얼셀,28600,10.21,27600,28600,26350,692507,19151716150,1873120563600,1873120563600,65493726
322000,HD현대에너지솔루션,129000,7.86,130300,142900,128800,741888,100452342750,1444800000000,1444800000000,11200000
020150,롯데에너지머티리얼즈,30450,10.33,28300,30600,28300,166581,4937621075,1594528348350,1594528348350,52365463
007810,코리아써키트,48200,4.9,48000,49300,46200,323276,15425510850,1155962284000,1155962284000,23982620
