종목코드,종목명
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
009150,삼성전기
005380,현대차
373220,LG에너지솔루션
207940,삼성바이오로직스
105560,KB금융
032830,삼성생명
028260,삼성물산
000270,기아
329180,HD현대중공업
055550,신한지주
012450,한화에어로스페이스
012330,현대모비스
034020,두산에너빌리티
068270,셀트리온
034730,SK
086790,하나금융지주
035420,NAVER
006400,삼성SDI
010120,LS ELECTRIC
000810,삼성화재
009540,HD한국조선해양
042660,한화오션
066570,LG전자
005490,POSCO홀딩스
316140,우리금융지주
267260,HD현대일렉트릭
298040,효성중공업
015760,한국전력
010130,고려아연
138040,메리츠금융지주
000150,두산
011200,HMM
042700,한미반도체
006800,미래에셋증권
010140,삼성중공업
033780,KT&G
096770,SK이노베이션
051910,LG화학
017670,SK텔레콤
196170,알테오젠
035720,카카오
024110,기업은행
018260,삼성에스디에스
267250,HD현대
079550,LIG디펜스앤에어로스페이스
086280,현대글로비스
003550,LG
064350,현대로템
010950,S-Oil
030200,KT
278470,에이피알
003670,포스코퓨처엠
047810,한국항공우주
272210,한화시스템
011070,LG이노텍
259960,크래프톤
071050,한국금융지주
307950,현대오토에버
323410,카카오뱅크
086520,에코프로
000720,현대건설
005940,NH투자증권
005830,DB손해보험
003490,대한항공
247540,에코프로비엠
047050,포스코인터내셔널
0126Z0,삼성에피스홀딩스
277810,레인보우로보틱스
003230,삼양식품
028050,삼성E&A
016360,삼성증권
006260,LS
078930,GS
443060,HD현대마린솔루션
180640,한진칼
161390,한국타이어앤테크놀로지
352820,하이브
090430,아모레퍼시픽
039490,키움증권
032640,LG유플러스
021240,코웨이
064400,LG씨엔에스
241560,두산밥캣
267270,HD건설기계
000880,한화
377300,카카오페이
036930,주성엔지니어링
000100,유한양행
326030,SK바이오팜
047040,대우건설
029780,삼성카드
007660,이수페타시스
036570,NC
353200,대덕전자
271560,오리온
175330,JB금융지주
034220,LG디스플레이
062040,산일전기
128940,한미약품
001440,대한전선
058470,리노공업
240810,원익IPS
138930,BNK금융지주
051900,LG생활건강
111770,영원무역
454910,두산로보틱스
028300,HLB
009830,한화솔루션
214450,파마리서치
298380,에이비엘바이오
001040,CJ
004170,신세계
087010,펩트론
052690,한전기술
088350,한화생명
000250,삼천당제약
039030,이오테크닉스
141080,리가켐바이오
222800,심텍
023530,롯데쇼핑
000990,DB하이텍
004020,현대제철
010060,OCI홀딩스
011790,SKC
018880,한온시스템
319660,피에스케이
108490,로보티즈
145020,휴젤
214150,클래시스
214370,케어젠
403870,HPSP
001450,현대해상
002380,KCC
011780,금호석유화학
022100,포스코DX
031210,서울보증보험
035250,강원랜드
036460,한국가스공사
066970,엘앤에프
082740,한화엔진
097950,CJ제일제당
251270,넷마블
483650,달바글로벌
058610,에스피지
450080,에코프로머티
095340,ISC
095610,테스
257720,실리콘투
319400,현대무벡스
347850,디앤디파마텍
000240,한국앤컴퍼니
001720,신영증권
003690,코리안리
004370,농심
005850,에스엘
007340,DN오토모티브
008930,한미사이언스
009420,한올바이오파마
009970,영원무역홀딩스
011170,롯데케미칼
017800,현대엘리베이터
028670,팬오션
069960,현대백화점
081660,미스토홀딩스
103590,일진전기
139130,iM금융지주
161890,한국콜마
302440,SK바이오사이언스
375500,DL이앤씨
383220,F&F
084370,유진테크
005290,동진쎄미켐
489790,한화비전
064760,티씨케이
067310,하나마이크론
068760,셀트리온제약
080220,제주반도체
098460,고영
178320,서진시스템
226950,올릭스
237690,에스티팜
263750,펄어비스
310210,보로노이
357780,솔브레인
002790,아모레퍼시픽홀딩스
004990,롯데지주
006360,GS건설
007070,GS리테일
014680,한솔케미칼
018670,SK가스
030000,제일기획
051600,한전KPS
073240,금호타이어
085620,미래에셋생명
103140,풍산
139480,이마트
192820,코스맥스
204320,HL만도
282330,BGF리테일
439260,대한조선
031980,피에스케이홀딩스
007390,네이처셀
475150,SK이터닉스
032820,우리기술
035900,JYP Ent.
041510,에스엠
060370,LS마린솔루션
082920,비츠로셀
083650,비에이치아이
089030,테크윙
096530,씨젠
140860,파크시스템스
290650,엘앤씨바이오
437730,삼현
000120,CJ대한통운
001430,세아베스틸지주
001800,오리온홀딩스
006040,동원산업
006280,녹십자
008770,호텔신라
011210,현대위아
020150,롯데에너지머티리얼즈
069620,대웅제약
071970,HD현대마린엔진
097230,HJ중공업
112610,씨에스윈드
120110,코오롱인더
298020,효성티앤씨
322000,HD현대에너지솔루션
336260,두산퓨얼셀
457190,이수스페셜티케미컬
030530,원익홀딩스
003380,하림지주
229640,LS에코에너지
039200,오스코텍
043260,성호전자
065350,신성델타테크
078600,대주전자재료
085660,차바이오텍
090710,휴림로봇
101490,에스앤에스텍
131970,두산테스나
166090,하나머티리얼즈
183300,코미코
195940,HK이노엔
218410,RFHIC
293490,카카오게임즈
323280,태성
347700,스피어
388720,유일로보틱스
458870,씨어스
475830,오름테라퓨틱
000080,하이트진로
000210,DL
003240,태광산업
003530,한화투자증권
003540,대신증권
004000,롯데정밀화학
005070,코스모신소재
005300,롯데칠성
006120,SK디스커버리
007810,코리아써키트
017960,한국카본
032350,롯데관광개발
034230,파라다이스
077970,STX엔진
100090,SK오션플랜트
036540,SFA반도체
035760,CJ ENM
298050,HS효성첨단소재
038500,삼표시멘트
082270,젬백스
099320,쎄트렉아이
100790,미래에셋벤처투자
115180,큐리언트
122870,와이지엔터테인먼트
137400,피엔티
161580,필옵틱스
174900,앱클론
213420,덕산네오룩스
232140,와이씨
253450,스튜디오드래곤
281740,레이크머티리얼즈
328130,루닛
348370,엔켐
358570,지아이이노베이션
376900,로킷헬스케어
397030,에이프릴바이오
417200,LS머트리얼즈
445680,큐리옥스바이오시스템즈
456160,지투지바이오
466100,클로봇
000670,영풍
075580,세진중공업
249420,일동제약
285130,SK케미칼
036830,솔브레인홀딩스
